# Coefficients hydrodynamiques de palette, angle d'incidence 0-180 deg
# FORME recalee sur les reperes MESURES de Caplan & Gardner (2007),
#   J Sports Sci 25(6):643-650 — Big Blade, methode quasi-statique en veine.
# Reperes utilises (donnes en clair dans le texte de l'article) :
#   C_D max ~ 2,0 a 90 deg | C_L max a 40-45 deg | C_L = 0 a 90 deg
#   C_L negatif au-dela de 90 deg (le bord d'attaque passe au collet), min a 135 deg
# LIMITE : les VALEURS numeriques ne figurent dans l'article que sous forme de
#   courbes (fig. 6, 8, 9). Les magnitudes CL_MAX=1,10 et CL_MIN=-0,75 restent
#   des lectures approchees. Drapeau : blade_coeff_source='caplan_landmarks'.
# A remplacer par une numerisation des figures ou les donnees de l'auteur.
alpha_deg,C_L,C_D
0,0.0,0.04
1,0.03839,0.0406
2,0.07673,0.04239
3,0.11498,0.04537
4,0.15309,0.04954
5,0.19101,0.05489
6,0.2287,0.06142
7,0.26611,0.06911
8,0.3032,0.07796
9,0.33992,0.08796
10,0.37622,0.0991
11,0.41207,0.11136
12,0.44741,0.12473
13,0.48221,0.13918
14,0.51642,0.15471
15,0.55,0.1713
16,0.58291,0.18891
17,0.61511,0.20754
18,0.64656,0.22716
19,0.67723,0.24775
20,0.70707,0.26928
21,0.73604,0.29172
22,0.76412,0.31505
23,0.79127,0.33923
24,0.81746,0.36425
25,0.84265,0.39007
26,0.86681,0.41665
27,0.88992,0.44397
28,0.91194,0.47199
29,0.93285,0.50068
30,0.95263,0.53
31,0.97124,0.55992
32,0.98867,0.5904
33,1.0049,0.6214
34,1.0199,0.65289
35,1.03366,0.68482
36,1.04616,0.71716
37,1.05739,0.74988
38,1.06733,0.78292
39,1.07596,0.81625
40,1.08329,0.84982
41,1.08929,0.88361
42,1.09397,0.91756
43,1.09732,0.95164
44,1.09933,0.9858
45,1.1,1.02
46,1.09933,1.0542
47,1.09732,1.08836
48,1.09397,1.12244
49,1.08929,1.15639
50,1.08329,1.19018
51,1.07596,1.22375
52,1.06733,1.25708
53,1.05739,1.29012
54,1.04616,1.32284
55,1.03366,1.35518
56,1.0199,1.38711
57,1.0049,1.4186
58,0.98867,1.4496
59,0.97124,1.48008
60,0.95263,1.51
61,0.93285,1.53932
62,0.91194,1.56801
63,0.88992,1.59603
64,0.86681,1.62335
65,0.84265,1.64993
66,0.81746,1.67575
67,0.79127,1.70077
68,0.76412,1.72495
69,0.73604,1.74828
70,0.70707,1.77072
71,0.67723,1.79225
72,0.64656,1.81284
73,0.61511,1.83246
74,0.58291,1.85109
75,0.55,1.8687
76,0.51642,1.88529
77,0.48221,1.90082
78,0.44741,1.91527
79,0.41207,1.92864
80,0.37622,1.9409
81,0.33992,1.95204
82,0.3032,1.96204
83,0.26611,1.97089
84,0.2287,1.97858
85,0.19101,1.98511
86,0.15309,1.99046
87,0.11498,1.99463
88,0.07673,1.99761
89,0.03839,1.9994
90,0.0,2.0
91,-0.02617,1.9994
92,-0.05232,1.99761
93,-0.0784,1.99463
94,-0.10438,1.99046
95,-0.13024,1.98511
96,-0.15593,1.97858
97,-0.18144,1.97089
98,-0.20673,1.96204
99,-0.23176,1.95204
100,-0.25652,1.9409
101,-0.28095,1.92864
102,-0.30505,1.91527
103,-0.32878,1.90082
104,-0.3521,1.88529
105,-0.375,1.8687
106,-0.39744,1.85109
107,-0.41939,1.83246
108,-0.44084,1.81284
109,-0.46175,1.79225
110,-0.48209,1.77072
111,-0.50185,1.74828
112,-0.52099,1.72495
113,-0.5395,1.70077
114,-0.55736,1.67575
115,-0.57453,1.64993
116,-0.59101,1.62335
117,-0.60676,1.59603
118,-0.62178,1.56801
119,-0.63604,1.53932
120,-0.64952,1.51
121,-0.66221,1.48008
122,-0.6741,1.4496
123,-0.68516,1.4186
124,-0.69539,1.38711
125,-0.70477,1.35518
126,-0.71329,1.32284
127,-0.72095,1.29012
128,-0.72772,1.25708
129,-0.73361,1.22375
130,-0.73861,1.19018
131,-0.7427,1.15639
132,-0.74589,1.12244
133,-0.74817,1.08836
134,-0.74954,1.0542
135,-0.75,1.02
136,-0.74954,0.9858
137,-0.74817,0.95164
138,-0.74589,0.91756
139,-0.7427,0.88361
140,-0.73861,0.84982
141,-0.73361,0.81625
142,-0.72772,0.78292
143,-0.72095,0.74988
144,-0.71329,0.71716
145,-0.70477,0.68482
146,-0.69539,0.65289
147,-0.68516,0.6214
148,-0.6741,0.5904
149,-0.66221,0.55992
150,-0.64952,0.53
151,-0.63604,0.50068
152,-0.62178,0.47199
153,-0.60676,0.44397
154,-0.59101,0.41665
155,-0.57453,0.39007
156,-0.55736,0.36425
157,-0.5395,0.33923
158,-0.52099,0.31505
159,-0.50185,0.29172
160,-0.48209,0.26928
161,-0.46175,0.24775
162,-0.44084,0.22716
163,-0.41939,0.20754
164,-0.39744,0.18891
165,-0.375,0.1713
166,-0.3521,0.15471
167,-0.32878,0.13918
168,-0.30505,0.12473
169,-0.28095,0.11136
170,-0.25652,0.0991
171,-0.23176,0.08796
172,-0.20673,0.07796
173,-0.18144,0.06911
174,-0.15593,0.06142
175,-0.13024,0.05489
176,-0.10438,0.04954
177,-0.0784,0.04537
178,-0.05232,0.04239
179,-0.02617,0.0406
180,-0.0,0.04
