# Base de coques relevee sur documents constructeurs fournis par l'utilisateur
# Filippi 'Moulds list' v.4 04/11/2024 -- Empacher 'Bootsformen' Dez25
# loa_m = longueur HORS-TOUT. beam_wl_m = largeur A LA FLOTTAISON (explicite chez les deux).
# ATTENTION : la longueur de flottaison n'est PAS publiee. L_wl est estimee a 0,97*LOA (categorie N).
# Les masses de coque ne sont PAS publiees en gamme course : on retient les minima reglementaires.
builder,mould,boat_class,loa_m,beam_wl_m,rower_kg_min,rower_kg_max
Filippi,F44,1x,7.4,0.26,50,60
Filippi,F72,1x,7.2,0.275,50,60
Filippi,F15,1x,7.77,0.28,65,75
Filippi,F50,1x,8.04,0.27,65,85
Filippi,F07,1x,7.96,0.295,70,85
Filippi,F45,1x,7.86,0.28,70,85
Filippi,F22,1x,8.0,0.29,75,85
Filippi,F01,1x,8.1,0.266,85,95
Filippi,F14,1x,8.33,0.29,85,100
Filippi,F21,1x,8.33,0.29,85,100
Filippi,F47,1x,8.33,0.286,90,100
Filippi,F39,1x,8.44,0.295,95,110
Filippi,F69,1x,7.79,0.28,75,85
Filippi,F70,1x,8.34,0.284,90,100
Filippi,F36,2x/2-,9.0,0.335,50,65
Filippi,F13,2x/2-,9.4,0.33,65,75
Filippi,F30,2x/2-,9.6,0.362,75,85
Filippi,F46,2x/2-,9.56,0.34,75,85
Filippi,F51,2x/2-,10.14,0.397,85,100
Filippi,F17,2x/2-,10.0,0.372,85,105
Filippi,F24,2x/2-,10.01,0.385,85,105
Filippi,F60,2x/2-,10.05,0.35,85,110
Filippi,F68,2x/2-,9.9,0.357,75,85
Filippi,F12,2+,10.1,0.4,80,100
Filippi,F61,4x/4-,12.9,0.45,85,100
Filippi,F53,4x/4-,11.5,0.397,55,70
Filippi,F11,4x/4-,11.78,0.403,55,75
Filippi,F43,4x/4-,11.78,0.403,60,75
Filippi,F34,4x/4-,11.7,0.48,60,85
Filippi,F52,4x/4-,11.89,0.422,70,85
Filippi,F28,4x/4-,12.66,0.435,75,85
Filippi,F19,4x/4-,12.81,0.444,85,100
Filippi,F25,4x/4-,12.72,0.438,85,100
Filippi,F38,4x/4-,12.8,0.447,85,100
Filippi,F40,4x/4-,12.72,0.438,85,100
Filippi,F31,4x/4-,12.1,0.443,70,85
Filippi,F19,4+,12.81,0.444,85,100
Filippi,F31,4+,12.1,0.443,70,85
Filippi,F34,4+,11.7,0.48,60,85
Filippi,F54,8+,16.07,0.514,60,70
Filippi,F09,8+,16.5,0.58,60,85
Filippi,F42,8+,16.8,0.59,60,85
Filippi,F49,8+,17.44,0.544,85,100
Filippi,F29,8+,17.72,0.6,85,105
Filippi,F41,8+,17.63,0.6,85,105
Empacher,R01,1x,8.37,0.28,100,120
Empacher,R11,1x,8.3,0.28,95,110
Empacher,R10,1x,8.2,0.28,90,105
Empacher,R09,1x,8.05,0.27,85,95
Empacher,R08,1x,7.92,0.27,80,90
Empacher,R16,1x,7.78,0.26,75,85
